time,gFx,gFy,gFz,TgF
13:44:51:0509,0.0156,0.2033,0.6645,0.695
13:44:51:0509,0.0215,0.2111,0.6193,0.655
13:44:51:0509,0.0103,0.2206,0.5829,0.623
13:44:51:0520,-0.0183,0.2335,0.5572,0.604
13:44:51:0520,-0.0520,0.2484,0.5399,0.597
13:44:51:0520,-0.0855,0.2653,0.5213,0.591
13:44:51:0530,-0.1031,0.2878,0.4993,0.585
13:44:51:0530,-0.0967,0.3100,0.4698,0.571
13:44:51:0540,-0.0718,0.3276,0.4363,0.550
13:44:51:0570,-0.0252,0.3405,0.3940,0.521
13:44:51:0590,0.0325,0.3459,0.3408,0.487
13:44:51:0610,0.0611,0.3413,0.3186,0.471
13:44:51:0640,0.0393,0.3252,0.3388,0.471
13:44:51:0680,-0.0213,0.2993,0.3713,0.477
13:44:51:0690,-0.0980,0.2761,0.4163,0.509
13:44:51:0709,-0.1871,0.2607,0.6916,0.762
13:44:51:0740,-0.2504,0.2563,1.2256,1.277
13:44:51:0760,-0.2201,0.2817,1.4538,1.497
13:44:51:0780,-0.1097,0.3518,1.2413,1.295
13:44:51:0810,0.0110,0.4432,0.9337,1.034
13:44:51:0880,0.1087,0.5142,0.5335,0.749
13:44:51:0890,0.1637,0.5484,-0.1031,0.582
13:44:51:0890,0.1302,0.5460,-0.8294,1.001
13:44:51:0900,-0.0032,0.5096,-1.1895,1.294
13:44:51:0930,-0.1864,0.4402,-1.0427,1.147
13:44:51:0950,-0.3572,0.3562,-0.5526,0.748
13:44:51:1000,-0.4693,0.3034,0.1659,0.583
13:44:51:1010,-0.4930,0.3300,0.9674,1.135
13:44:51:1030,-0.4261,0.4451,1.6004,1.715
13:44:51:1050,-0.3041,0.6002,1.8378,1.957
13:44:51:1070,-0.1859,0.7326,1.6287,1.796
13:44:51:1100,-0.1239,0.8152,1.1548,1.419
13:44:51:1130,-0.1314,0.8467,0.7097,1.113
13:44:51:1360,-0.1656,0.8250,0.7119,1.102
13:44:51:1370,-0.1876,0.7857,0.6110,1.013
13:44:51:1370,-0.2289,0.7710,0.1148,0.812
13:44:51:1370,-0.2875,0.7776,-0.0528,0.831
13:44:51:1370,-0.3063,0.7993,0.1788,0.875
13:44:51:1380,-0.2927,0.8169,0.3962,0.954
13:44:51:1380,-0.2905,0.8157,0.4016,0.954
13:44:51:1380,-0.3093,0.8084,0.3987,0.953
13:44:51:1390,-0.3396,0.8013,0.4348,0.973
13:44:51:1390,-0.3726,0.7981,0.4607,0.994
13:44:51:1390,-0.3958,0.8001,0.4737,1.011
13:44:51:1419,-0.4031,0.8106,0.4732,1.021
13:44:51:1450,-0.3965,0.8311,0.4517,1.026
13:44:51:1470,-0.3752,0.8541,0.4202,1.023
13:44:51:1500,-0.3464,0.8724,0.3933,1.018
13:44:51:1510,-0.3271,0.8802,0.3818,1.014
13:44:51:1540,-0.3161,0.8787,0.3877,1.011
13:44:51:1560,-0.3019,0.8748,0.3953,1.006
13:44:51:1590,-0.2863,0.8709,0.4021,1.001
13:44:51:1620,-0.2699,0.8707,0.4231,1.005
13:44:51:1640,-0.2467,0.8741,0.4615,1.019
13:44:51:1900,-0.2169,0.8804,0.5050,1.038
13:44:51:1920,-0.1844,0.8883,0.5453,1.058
13:44:51:1930,-0.1578,0.8922,0.5848,1.078
13:44:51:1930,-0.1390,0.8922,0.6242,1.098
13:44:51:1940,-0.1239,0.8841,0.6535,1.106
13:44:51:1940,-0.1146,0.8660,0.6684,1.100
13:44:51:1940,-0.1151,0.8436,0.6774,1.088
13:44:51:1950,-0.1224,0.8179,0.6899,1.077
13:44:51:1950,-0.1329,0.7881,0.7019,1.064
13:44:51:1960,-0.1446,0.7561,0.7129,1.049
13:44:51:1980,-0.1590,0.7243,0.7234,1.036
13:44:51:2090,-0.1732,0.6982,0.7300,1.025
