time,gFx,gFy,gFz,TgF
13:44:10:3750,0.0667,0.4783,1.0087,1.118
13:44:10:3770,0.0787,0.4766,1.0121,1.121
13:44:10:3830,0.0911,0.4747,1.0111,1.121
13:44:10:3850,0.1016,0.4695,1.0111,1.119
13:44:10:3860,0.1116,0.4612,1.0129,1.119
13:44:10:3880,0.1219,0.4515,1.0160,1.118
13:44:10:3890,0.1334,0.4419,1.0192,1.119
13:44:10:3920,0.1441,0.4314,1.0226,1.119
13:44:10:3940,0.1556,0.4219,1.0290,1.123
13:44:10:4020,0.1688,0.4146,1.0385,1.131
13:44:10:4030,0.1820,0.4077,1.0539,1.145
13:44:10:4040,0.1952,0.4024,1.0707,1.160
13:44:10:4040,0.2055,0.3967,1.0852,1.174
13:44:10:4060,0.2130,0.3923,1.0984,1.186
13:44:10:4079,0.2189,0.3892,1.1103,1.197
13:44:10:4110,0.2213,0.3860,1.1191,1.204
13:44:10:4130,0.2194,0.3862,1.1238,1.208
13:44:10:4150,0.2152,0.3860,1.1252,1.209
13:44:10:4180,0.2101,0.3848,1.1240,1.206
13:44:10:4200,0.2055,0.3855,1.1201,1.202
13:44:10:4230,0.2018,0.3862,1.1145,1.197
13:44:10:4250,0.1979,0.3887,1.1074,1.190
13:44:10:4270,0.1932,0.3923,1.0969,1.181
13:44:10:4300,0.1879,0.3938,1.0849,1.169
13:44:10:4330,0.1820,0.3936,1.0693,1.154
13:44:10:4350,0.1752,0.3933,1.0475,1.133
13:44:10:4370,0.1691,0.3940,1.0236,1.110
13:44:10:4400,0.1625,0.3936,0.9992,1.086
13:44:10:4430,0.1568,0.3919,0.9738,1.061
13:44:10:4470,0.1522,0.3899,0.9479,1.036
13:44:10:4480,0.1449,0.3882,0.9203,1.009
13:44:10:4500,0.1390,0.3889,0.8929,0.984
13:44:10:4530,0.1356,0.3889,0.8665,0.959
13:44:10:4540,0.1312,0.3867,0.8426,0.936
13:44:10:4570,0.1261,0.3853,0.8206,0.915
13:44:10:4590,0.1214,0.3828,0.7998,0.895
13:44:10:4650,0.1175,0.3791,0.7830,0.878
13:44:10:4660,0.1146,0.3767,0.7698,0.865
