time,gFx,gFy,gFz,TgF
13:45:35:0370,-0.2631,0.2756,0.7441,0.836
13:45:35:0400,-0.2565,0.2848,0.7529,0.845
13:45:35:0420,-0.2570,0.2868,0.7500,0.843
13:45:35:0440,-0.2660,0.2831,0.7414,0.837
13:45:35:0460,-0.2792,0.2783,0.7378,0.836
13:45:35:0490,-0.2851,0.2746,0.7424,0.841
13:45:35:0509,-0.2677,0.2702,0.7688,0.858
13:45:35:0540,-0.2362,0.2638,0.8152,0.889
13:45:35:0570,-0.2167,0.2533,0.8350,0.899
13:45:35:0590,-0.2130,0.2397,0.8116,0.873
13:45:35:0610,-0.2174,0.2221,0.7876,0.847
13:45:35:0630,-0.2262,0.1996,0.7927,0.848
13:45:35:0660,-0.2379,0.1774,0.8233,0.875
13:45:35:0680,-0.2516,0.1559,0.8670,0.916
13:45:35:0709,-0.2646,0.1358,0.9058,0.953
13:45:35:0750,-0.2756,0.1185,0.9388,0.986
13:45:35:0760,-0.2880,0.1031,0.9711,1.018
13:45:35:0780,-0.3007,0.0916,1.0006,1.049
13:45:35:0810,-0.3100,0.0850,1.0207,1.070
13:45:35:0830,-0.3156,0.0806,1.0292,1.080
13:45:35:0850,-0.3171,0.0774,1.0287,1.079
13:45:35:0880,-0.3132,0.0740,1.0248,1.074
13:45:35:0900,-0.3059,0.0728,1.0256,1.073
13:45:35:0930,-0.2963,0.0716,1.0251,1.069
13:45:35:0950,-0.2812,0.0708,1.0126,1.053
13:45:35:0980,-0.2634,0.0723,1.0050,1.041
13:45:35:1000,-0.2480,0.0743,1.0136,1.046
13:45:35:1030,-0.2321,0.0772,1.0182,1.047
13:45:35:1050,-0.2133,0.0789,1.0143,1.039
13:45:35:1070,-0.1932,0.0872,1.0190,1.041
13:45:35:1100,-0.1705,0.1024,1.0414,1.060
13:45:35:1120,-0.1444,0.1182,1.0688,1.085
13:45:35:1140,-0.1173,0.1327,1.0905,1.105
13:45:35:1170,-0.0877,0.1436,1.1145,1.127
13:45:35:1190,-0.0503,0.1527,1.1438,1.155
13:45:35:1220,-0.0134,0.1669,1.1663,1.178
13:45:35:1240,0.0139,0.1888,1.1897,1.205
13:45:35:1280,0.0398,0.2113,1.2127,1.232
13:45:35:1290,0.0735,0.2331,1.1929,1.218
13:45:35:1320,0.1114,0.2536,1.1335,1.167
13:45:35:1340,0.1473,0.2721,1.0817,1.125
13:45:35:1360,0.1852,0.2890,1.0571,1.111
13:45:35:1400,0.2235,0.3032,1.0483,1.114
13:45:35:1419,0.2541,0.3125,1.0578,1.132
13:45:35:1450,0.2731,0.3151,1.0756,1.154
13:45:35:1470,0.2863,0.3127,1.0734,1.154
13:45:35:1490,0.3029,0.3076,1.0622,1.147
13:45:35:1510,0.3193,0.2980,1.0588,1.145
13:45:35:1530,0.3322,0.2846,1.0500,1.137
13:45:35:1570,0.3420,0.2699,1.0422,1.130
13:45:35:1590,0.3469,0.2555,1.0346,1.121
13:45:35:1610,0.3452,0.2370,1.0168,1.100
13:45:35:1650,0.3310,0.2167,1.0058,1.081
13:45:35:1660,0.3034,0.2003,0.9931,1.058
13:45:35:1690,0.2580,0.1786,0.9894,1.038
13:45:35:1710,0.1969,0.1500,0.9945,1.025
13:45:35:1750,0.1356,0.1180,0.9975,1.014
13:45:35:1760,0.0838,0.0887,1.0165,1.024
13:45:35:1780,0.0447,0.0667,1.0419,1.045
13:45:35:1800,0.0232,0.0530,1.0612,1.063
13:45:35:1830,0.0144,0.0491,1.0849,1.086
13:45:35:1870,0.0112,0.0491,1.1115,1.113
13:45:35:1880,0.0086,0.0528,1.1350,1.136
13:45:35:1900,0.0037,0.0608,1.1604,1.162
13:45:35:1930,-0.0039,0.0677,1.1817,1.184
13:45:35:1950,-0.0183,0.0750,1.2102,1.213
13:45:35:1970,-0.0415,0.0809,1.2383,1.242
13:45:35:1990,-0.0684,0.0870,1.2549,1.260
13:45:35:2020,-0.0919,0.1002,1.2799,1.287
13:45:35:2039,-0.1094,0.1192,1.3170,1.327
13:45:35:2070,-0.1204,0.1417,1.3571,1.370
13:45:35:2090,-0.1148,0.1637,1.3893,1.404
13:45:35:2110,-0.0955,0.1815,1.4057,1.421
13:45:35:2140,-0.0816,0.1923,1.4123,1.428
13:45:35:2170,-0.0723,0.1908,1.4247,1.439
13:45:35:2190,-0.0647,0.1781,1.4526,1.465
13:45:35:2210,-0.0630,0.1627,1.4670,1.477
13:45:35:2240,-0.0628,0.1539,1.4626,1.472
13:45:35:2260,-0.0625,0.1483,1.4565,1.465
13:45:35:2280,-0.0613,0.1463,1.4335,1.442
13:45:35:2310,-0.0584,0.1483,1.4071,1.416
13:45:35:2330,-0.0596,0.1490,1.3778,1.387
13:45:35:2360,-0.0635,0.1529,1.3207,1.331
13:45:35:2380,-0.0689,0.1617,1.2672,1.279
13:45:35:2410,-0.0799,0.1756,1.2325,1.247
13:45:35:2430,-0.0911,0.1925,1.2032,1.222
13:45:35:2450,-0.0953,0.2045,1.1929,1.214
13:45:35:2480,-0.1009,0.2157,1.1909,1.215
13:45:35:2500,-0.1072,0.2306,1.1780,1.205
13:45:35:2530,-0.1041,0.2448,1.1487,1.179
